,opcarrier,origin,dest,origin_lat,origin_lng,dest_lat,dest_lng
731,NK,MCO,DTW,28.42888889,-81.31602778,42.21205889,-83.34883583
732,NK,MCO,EWR,28.42888889,-81.31602778,40.69249722,-74.16866056
733,NK,FLL,LAS,26.07258333,-80.15275,36.08036111,-115.1523333
734,WN,DAL,PDX,32.84711389,-96.85177222,45.58872222,-122.5975
735,WN,SAN,SFO,32.73355611,-117.1896567,37.61900194,-122.3748433
736,AA,PHL,DTW,39.87195278,-75.24114083,42.21205889,-83.34883583
737,DL,JFK,TPA,40.63975111,-73.77892556,27.97547222,-82.53325
738,F9,DEN,TPA,39.85840806,-104.6670019,27.97547222,-82.53325
739,NK,LAS,IAH,36.08036111,-115.1523333,29.98047222,-95.33972222
740,NK,FLL,MCO,26.07258333,-80.15275,28.42888889,-81.31602778
741,WN,MCO,PHL,28.42888889,-81.31602778,39.87195278,-75.24114083
742,OO,LGA,CLT,40.77724306,-73.87260917,35.21401111,-80.94312583
743,F9,DEN,IAH,39.85840806,-104.6670019,29.98047222,-95.33972222
744,F9,DEN,LGA,39.85840806,-104.6670019,40.77724306,-73.87260917
745,NK,MCO,ATL,28.42888889,-81.31602778,33.64044444,-84.42694444
746,NK,FLL,BOS,26.07258333,-80.15275,42.3643475,-71.00517917
747,NK,FLL,IAH,26.07258333,-80.15275,29.98047222,-95.33972222
748,NK,FLL,PHL,26.07258333,-80.15275,39.87195278,-75.24114083
749,NK,FLL,PHX,26.07258333,-80.15275,33.43416667,-112.0080556
750,NK,IAH,SAN,29.98047222,-95.33972222,32.73355611,-117.1896567
751,NK,DTW,SEA,42.21205889,-83.34883583,47.44898194,-122.3093131
752,DL,DTW,MDW,42.21205889,-83.34883583,41.7859825,-87.75242444
753,UA,EWR,ATL,40.69249722,-74.16866056,33.64044444,-84.42694444
754,B6,BOS,LGA,42.3643475,-71.00517917,40.77724306,-73.87260917
755,F9,MCO,DEN,28.42888889,-81.31602778,39.85840806,-104.6670019
